grid_id,dist_ranger,dist_salt,dist_vill,dist_str,ndvi_cv,slope
292,6082.76,2236.07,27166.2,4242.64,0.2258,56.1544
293,6000,2236.07,26172.5,5000,0.1958,40.3087
294,6082.76,1414.21,25179.4,5385.17,0.2124,50.621
295,6324.56,1000,24186.8,5830.95,0.2101,14.1892
296,6708.2,0,23194.8,6403.12,0.19,16.5459
297,7211.1,1000,22203.6,7071.07,0.2577,30.7888
298,7810.25,1000,21213.2,6708.2,0.2195,40.8146
299,8485.28,0,20223.7,5830.95,0.1522,64.4394
300,9219.54,1000,19235.4,5000,0.1597,47.7326
301,8944.27,2000,18248.3,4000,0.1616,73.2043
302,8485.28,2000,17262.7,3000,0.1693,61.0956
303,7810.25,1000,16278.8,2000,0.2648,42.4262
304,7211.1,0,15297.1,1000,0.2527,52.3567
305,6708.2,1000,14317.8,0,0.1735,7.631
306,6324.56,1000,13341.7,0,0.1991,10.3273
307,6082.76,1414.21,12369.3,1000,0.128,1.7447
308,6000,2000,11401.8,2000,0.1902,16.3294
309,6082.76,2236.07,10440.3,2828.43,0.1706,55.3446
310,6324.56,2828.43,9486.83,3605.55,0.192,50.7989
311,6708.2,2236.07,8544,4472.14,0.2782,40.7442
312,6324.56,1414.21,7615.77,5385.17,0.1649,55.5956
313,5385.17,1000,6708.2,5000,0.1859,63.7254
314,4472.14,1414.21,5830.95,4472.14,0.1472,98.0275
315,3605.55,2236.07,5000,4123.11,0.0833,82.4063
316,2828.43,3162.28,4242.64,3605.55,0.0648,38.5769
317,2236.07,4123.11,3605.55,3162.28,0.1131,27.2872
318,2000,5099.02,3162.28,2828.43,0.1007,25.5415
319,2236.07,6082.76,3000,2236.07,0.096,48.1663
320,8602.33,3162.28,31064.4,4000,0.3441,31.5526
321,8062.26,2236.07,30066.6,4000,0.1696,25.372
322,7615.77,1414.21,29068.9,4123.11,0.1829,21.7765
323,7280.11,1000,28071.3,4472.14,0.2024,14.5701
324,7071.07,1414.21,27074,5000,0.2032,37.2866
