grid_id,dist_ranger,dist_salt,dist_vill,dist_str,slope_var,ndvi_cv
74,2236.07,3000,13453.6,1000,63.204,0.15
75,3162.28,3000,12806.2,0,72.564,0.111
76,4123.11,2000,12206.6,0,92.766,0.103
77,5099.02,1000,11661.9,0,98.291,0.107
78,5385.17,0,11180.3,1000,96.035,0.113
79,4472.14,1000,10770.3,1414.21,84.356,0.104
80,3605.55,2000,10440.3,2236.07,58.92,0.08
81,2828.43,3000,10198,2828.43,59.391,0.081
82,2236.07,4000,10049.9,3000,28.235,0.063
83,2000,5000,10000,3162.28,36.604,0.062
84,2236.07,6000,10049.9,3605.55,41.415,0.068
85,2828.43,7000,10198,4000,31.953,0.07
86,2000,6403.12,29410.9,0,95.106,0.154
87,1000,5830.95,28460.5,0,105.056,0.137
88,0,5385.17,27513.6,0,71.334,0.103
89,1000,5099.02,26570.7,1000,47.895,0.12
90,2000,5000,25632,2000,53.288,0.13
91,3000,5099.02,24698.2,3000,88.451,0.092
92,4000,5385.17,23769.7,4000,82.19,0.084
93,5000,5830.95,22847.3,5000,48.868,0.072
94,6000,6000,21931.7,6000,80.017,0.06
95,7000,6082.76,21023.8,6403.12,21.493,0.038
96,7000,5099.02,20124.6,5656.85,32.908,0.035
97,6000,4123.11,19235.4,5000,48.668,0.042
98,5000,3162.28,18357.6,4000,45.284,0.053
99,4000,2236.07,17492.9,3000,81.737,0.095
100,3000,1414.21,16643.3,2000,45.328,0.109
101,2000,1000,15811.4,1000,34.378,0.112
102,1000,1000,15000,0,7.033,0.117
103,0,1414.21,14212.7,0,13.66,0.13
104,1000,2236.07,13453.6,1000,11.857,0.117
105,2000,2236.07,12727.9,1414.21,76.501,0.132
106,3000,2000,12041.6,1000,80.183,0.117
107,4000,2236.07,11401.8,0,60.293,0.13
108,5000,1414.21,10816.7,0,95.447,0.077
109,5830.95,1000,10295.6,0,112.548,0.085
110,5000,1414.21,9848.86,1000,99.97,0.153
111,4242.64,2236.07,9486.83,1414.21,68.247,0.107
112,3605.55,3162.28,9219.54,2000,42.325,0.075
113,3162.28,4123.11,9055.38,2000,50.592,0.077
114,3000,5099.02,9000,2236.07,56.085,0.06
115,3162.28,6082.76,9055.38,2828.43,59.185,0.065
116,3605.55,7071.07,9219.54,3000,44.45,0.063
117,3162.28,6403.12,30083.2,0,90.335,0.143
118,2236.07,5656.85,29120.4,0,79.802,0.116
119,1414.21,5000,28160.3,0,58.433,0.123
120,1000,4472.14,27202.9,1000,52.197,0.119
121,1414.21,4123.11,26248.8,1414.21,66.781,0.119
122,2236.07,4000,25298.2,2236.07,67.745,0.097
123,3162.28,4123.11,24351.6,3162.28,94.826,0.091
124,4123.11,4472.14,23409.4,4123.11,45.088,0.083
125,5099.02,5000,22472.2,5099.02,42.576,0.094
126,6082.76,5000,21540.7,6082.76,91.194,0.078
127,7071.07,5099.02,20615.5,5830.95,11.732,0.04
128,7071.07,5000,19697.7,5000,7.305,0.028
129,6082.76,4000,18788.3,4242.64,28.484,0.04
130,5099.02,3000,17888.5,3605.55,100.192,0.066
131,4123.11,2000,17000,2828.43,105.927,0.099
132,3162.28,1000,16124.5,2000,88.307,0.101
133,2236.07,0,15264.3,1000,42.108,0.121
134,1414.21,1000,14422.2,0,10.056,0.124
135,1000,1414.21,13601.5,1000,24.939,0.135
136,1414.21,2236.07,12806.2,1414.21,7.511,0.109
